variable,x,y
layer.7,989.2431999999999,1.6370629296602601E-9
layer.7,991.7944,1.446602837518185E-9
layer.7,994.3455999999999,1.2778904601162822E-9
layer.7,996.8967999999998,1.1284948531198324E-9
layer.7,999.4480000000001,9.96247306872533E-10
layer.7,1001.9992,8.792176431349219E-10
layer.7,1004.5503999999999,7.756883468879039E-10
layer.7,1007.1016,6.84131806760746E-10
layer.7,1009.6527999999998,6.031916077731125E-10
layer.7,1012.204,5.316564410939861E-10
layer.7,1014.7552000000001,4.684557186607208E-10
layer.7,1017.3063999999999,4.126365082957051E-10
layer.7,1019.8575999999998,3.633527090318722E-10
layer.7,1022.4087999999999,3.198532827486389E-10
layer.7,1024.96,2.814726229871667E-10
layer.7,1027.5112,2.476170379850373E-10
layer.7,1030.0624,2.177655417101576E-10
layer.7,1032.6136,1.9145063312464572E-10
layer.7,1035.1647999999998,1.682630562660492E-10
layer.7,1037.7160000000001,1.4783672896978572E-10
layer.7,1040.2672,1.2984789632408678E-10
layer.7,1042.8183999999999,1.1401232735686051E-10
layer.7,1045.3696,1.00075475684136E-10
layer.7,1047.9207999999999,8.781482485620273E-11
layer.7,1050.472,7.70312563735942E-11
layer.7,1053.0232,6.755079828835164E-11
layer.7,1055.5744,5.921825529942026E-11
layer.7,1058.1255999999998,5.1896688335606456E-11
