Raw value,Corresponding cumulative value,Corresponding logistic value,Fractional area,Training omission,Test omission
2.82921E-4,43.506727344,0.531422644,0.13504919,0.349206349,0.571428571
2.83745E-4,43.761766087,0.532147228,0.134154825,0.349206349,0.571428571
2.84881E-4,44.017491644,0.533141969,0.133260459,0.349206349,0.571428571
2.86597E-4,44.274733232,0.53463572,0.132366094,0.349206349,0.571428571
2.87712E-4,44.50454437,0.535601702,0.131571102,0.380952381,0.571428571
2.88902E-4,44.763934735,0.536628426,0.130676737,0.380952381,0.571428571
2.9027E-4,45.024372494,0.537802987,0.129782371,0.380952381,0.571428571
2.91178E-4,45.25695523,0.538579447,0.12898738,0.380952381,0.571428571
2.92019E-4,45.519415593,0.539295686,0.128093014,0.380952381,0.571428571
2.93294E-4,45.753443543,0.540377834,0.127298022,0.380952381,0.571428571
2.94074E-4,46.017757684,0.541037767,0.126403657,0.380952381,0.714285714
2.95095E-4,46.253357886,0.54189827,0.125608665,0.380952381,0.714285714
2.96566E-4,46.519840041,0.543132334,0.1247143,0.380952381,0.714285714
2.98678E-4,46.758186039,0.54489233,0.123919308,0.380952381,0.714285714
2.99713E-4,47.027491903,0.545750587,0.123024943,0.380952381,0.714285714
3.01778E-4,47.26799842,0.547451738,0.122229951,0.380952381,0.714285714
3.03235E-4,47.509940338,0.548645233,0.12143496,0.380952381,0.714285714
3.04797E-4,47.752954906,0.549916928,0.120639968,0.396825397,0.714285714
3.06096E-4,48.027839678,0.550969535,0.119745603,0.396825397,0.714285714
3.06782E-4,48.273022282,0.551522995,0.118950611,0.396825397,0.714285714
3.07364E-4,48.518700637,0.551991602,0.11815562,0.396825397,0.714285714
3.08224E-4,48.764952802,0.552683119,0.117360628,0.396825397,0.714285714
3.09754E-4,49.012253117,0.553906915,0.116565636,0.412698413,0.714285714
3.10323E-4,49.260351755,0.55436001,0.115770645,0.412698413,0.714285714
3.11497E-4,49.509036842,0.555292449,0.114975653,0.412698413,0.714285714
3.13307E-4,49.759049097,0.556723097,0.114180662,0.412698413,0.714285714
3.14597E-4,50.010365194,0.557737067,0.11338567,0.412698413,0.714285714
3.1556E-4,50.26243675,0.558490612,0.112590679,0.412698413,0.714285714
3.17106E-4,50.515391519,0.559695433,0.111795687,0.412698413,0.714285714
3.18057E-4,50.769485612,0.560432891,0.111000696,0.412698413,0.714285714
3.19028E-4,51.024357429,0.561183699,0.110205704,0.412698413,0.714285714
3.19857E-4,51.279996883,0.561823078,0.109410713,0.412698413,0.714285714
3.2144E-4,51.50456758,0.563038255,0.108715095,0.412698413,0.714285714
3.22008E-4,51.76191936,0.563471984,0.107920103,0.412698413,0.714285714
3.23272E-4,52.020210323,0.564435226,0.107125112,0.412698413,0.714285714
3.25299E-4,52.279677101,0.565971596,0.10633012,0.412698413,0.714285714
3.26076E-4,52.50774045,0.566557385,0.105634503,0.444444444,0.714285714
3.27081E-4,52.769026798,0.567313437,0.104839511,0.444444444,0.714285714
3.28195E-4,53.031071978,0.568147599,0.10404452,0.444444444,0.714285714
