x,y,raw,cumulative,logistic
8054.0,8054.0,3.16074E-6,0.239519165,0.012375887
8055.0,8055.0,1.4172E-4,17.422975356,0.359737787
8056.0,8056.0,3.99021E-4,69.585998831,0.612695107
8057.0,8057.0,1.5281E-4,19.071444309,0.377267
8058.0,8058.0,1.29396E-6,0.086801832,0.005103799
8059.0,8059.0,1.90958E-4,25.085914764,0.430869069
8060.0,8060.0,1.63736E-7,0.005005186,0.000648721
8061.0,8061.0,2.14977E-5,1.985971946,0.078535416
8062.0,8062.0,4.92482E-11,0.00000019,0.000000195
8063.0,8063.0,3.77628E-6,0.300686405,0.014750464
8064.0,8064.0,1.30527E-4,15.629924728,0.341013501
8065.0,8065.0,1.89793E-5,1.701731581,0.069979307
8066.0,8066.0,3.60931E-4,60.260285603,0.588635504
8067.0,8067.0,7.62794E-5,8.381961652,0.232195464
8068.0,8068.0,1.35877E-5,1.166788574,0.051115733
8069.0,8069.0,1.90573E-5,1.715049133,0.070246667
8070.0,8070.0,1.81949E-5,1.636716734,0.067281548
8071.0,8071.0,3.97746E-4,69.187594548,0.611935149
8072.0,8072.0,3.60483E-4,60.152059394,0.588334894
8073.0,8073.0,3.16931E-7,0.013720941,0.001254917
8074.0,8074.0,4.11927E-4,72.058753735,0.620221524
8075.0,8075.0,1.66366E-7,0.005186599,0.000659135
8076.0,8076.0,6.93232E-5,7.52440283,0.215585733
8077.0,8077.0,1.1623E-5,0.982966936,0.044050213
8078.0,8078.0,1.70342E-4,21.824034675,0.403104149
8079.0,8079.0,9.1979E-11,0.000000404,0.000000365
8080.0,8080.0,9.20372E-8,0.001955867,0.000364755
8081.0,8081.0,2.01142E-4,26.73403096,0.443652973
8082.0,8082.0,2.92408E-6,0.218596697,0.011459862
8083.0,8083.0,2.13144E-4,28.621348801,0.458001824
8084.0,8084.0,1.67183E-4,21.335058241,0.398607349
8085.0,8085.0,1.4429E-5,1.254996827,0.054109284
8086.0,8086.0,4.70234E-7,0.02364128,0.001860804
8087.0,8087.0,3.44874E-4,56.38178368,0.577573195
8088.0,8088.0,3.91321E-6,0.310689369,0.015277182
8089.0,8089.0,2.2597E-4,30.775789621,0.472538901
8090.0,8090.0,1.74169E-4,22.323538735,0.408461088
8091.0,8091.0,1.18496E-8,0.000106568,0.000046976
8092.0,8092.0,7.14055E-5,7.798964033,0.220632545
8093.0,8093.0,1.25949E-4,15.03949199,0.333036266
8094.0,8094.0,2.49484E-5,2.360758915,0.090006915
8095.0,8095.0,1.08172E-4,12.501184557,0.300138632
8096.0,8096.0,2.83543E-7,0.011722587,0.001122865
8097.0,8097.0,2.55725E-7,0.010381727,0.001012813
8098.0,8098.0,9.37566E-5,10.660692416,0.270979858
8099.0,8099.0,1.41711E-9,0.000009393,0.000005618
8100.0,8100.0,1.85343E-4,24.125857028,0.423565719
8101.0,8101.0,5.01803E-4,87.299079473,0.665488399
8102.0,8102.0,3.54765E-10,0.000001988,0.000001406
8103.0,8103.0,1.49819E-7,0.004359155,0.000593616
8104.0,8104.0,2.3706E-6,0.173437475,0.009310902
8105.0,8105.0,2.68067E-5,2.549258388,0.096067129
8106.0,8106.0,5.02817E-5,5.274358726,0.166211591
8107.0,8107.0,1.42298E-6,0.09604465,0.00560986
8108.0,8108.0,3.77015E-4,64.39454183,0.599150443
8109.0,8109.0,3.26209E-4,52.408194368,0.56394312
8110.0,8110.0,2.17008E-5,1.998943869,0.079218612
8111.0,8111.0,3.9573E-4,68.83028669,0.610728268
8112.0,8112.0,4.70036E-4,83.570172223,0.650775665
8113.0,8113.0,1.05867E-4,12.126011274,0.295634209
8114.0,8114.0,7.39775E-6,0.627886329,0.028493199
8115.0,8115.0,2.47483E-4,35.327741039,0.49524598
8116.0,8116.0,4.65654E-6,0.371936314,0.018126539
8117.0,8117.0,9.73525E-6,0.825383323,0.037161756
8118.0,8118.0,2.21806E-4,30.059677051,0.467904979
8119.0,8119.0,3.18858E-6,0.242694141,0.012483536
8120.0,8120.0,2.12503E-4,28.493640214,0.45725353
8121.0,8121.0,1.23501E-6,0.080848854,0.004872409
8122.0,8122.0,1.54996E-9,0.000010604,0.000006145
8123.0,8123.0,4.50993E-7,0.022163972,0.001784799
8124.0,8124.0,5.3727E-5,5.727652288,0.175600659
8125.0,8125.0,3.93065E-4,68.041438665,0.609120336
8126.0,8126.0,3.58315E-4,59.469597586,0.586873155
8127.0,8127.0,4.53604E-6,0.361822079,0.017665748
8128.0,8128.0,1.37608E-4,16.8224841,0.352983776
8129.0,8129.0,4.31878E-6,0.342375859,0.016833859
8130.0,8130.0,1.92456E-4,25.354437947,0.432786112
8131.0,8131.0,1.47555E-5,1.288528914,0.05526602
8132.0,8132.0,1.47088E-4,18.232227194,0.368344465
8133.0,8133.0,4.18235E-4,73.594300029,0.623794506
8134.0,8134.0,5.8485E-5,6.306590724,0.188224634
8135.0,8135.0,6.78342E-7,0.038405076,0.00268212
8136.0,8136.0,4.32648E-4,76.569335401,0.631711301
8137.0,8137.0,4.41923E-4,78.142919702,0.636632203
8138.0,8138.0,2.33955E-4,32.524864423,0.481201467
8139.0,8139.0,1.73842E-4,22.306121804,0.408006156
8140.0,8140.0,1.69671E-5,1.520828811,0.063027386
8141.0,8141.0,8.01071E-5,8.858301465,0.241038543
8142.0,8142.0,5.48273E-7,0.02872872,0.002168951
8143.0,8143.0,8.76099E-6,0.743987533,0.033567611
8144.0,8144.0,5.74629E-5,6.219413852,0.185545499
8145.0,8145.0,5.20409E-8,0.000770598,0.000206277
8146.0,8146.0,3.33767E-4,53.764525548,0.56956702
8147.0,8147.0,7.30904E-5,7.994393206,0.224668972
8148.0,8148.0,1.50692E-6,0.102772621,0.005938813
8149.0,8149.0,4.69606E-8,0.000640975,0.000186144
8150.0,8150.0,1.56931E-7,0.004635705,0.000621775
8151.0,8151.0,9.27356E-6,0.782645661,0.035461886
8152.0,8152.0,4.3798E-4,77.614922628,0.634556251
8153.0,8153.0,7.34426E-5,8.060304454,0.225507453
8154.0,8154.0,1.66961E-10,0.00000087,0.000000662
8155.0,8155.0,1.01372E-4,11.587274188,0.286680199
8156.0,8156.0,8.76687E-8,0.001749382,0.000347448
8157.0,8157.0,1.71036E-6,0.117766481,0.006735177
8158.0,8158.0,1.4634E-5,1.275305447,0.054835948
8159.0,8159.0,3.55106E-6,0.275404819,0.013882975
8160.0,8160.0,1.1767E-4,13.830681242,0.318109422
8161.0,8161.0,2.00448E-6,0.142111909,0.007884231
8162.0,8162.0,8.33606E-7,0.050868839,0.003293999
8163.0,8163.0,2.86965E-6,0.213371816,0.011248932
8164.0,8164.0,4.68101E-4,83.100821493,0.649837795
8165.0,8165.0,1.06461E-10,0.000000482,0.000000422
8166.0,8166.0,5.90936E-8,0.00093148,0.000234226
8167.0,8167.0,8.85084E-12,0.000000032,0.000000035
8168.0,8168.0,2.84543E-7,0.01180781,0.001126818
