x,y,species min
927.0,927.0,0.008468453
928.0,928.0,0.0012508782
929.0,929.0,0.06949376
930.0,930.0,6.748936E-4
931.0,931.0,0.25158566
932.0,932.0,0.026317542
933.0,933.0,0.022361672
934.0,934.0,0.28812623
935.0,935.0,8.938569E-6
936.0,936.0,0.1887306
937.0,937.0,0.0011512053
938.0,938.0,1.7003689E-4
939.0,939.0,0.0077759773
940.0,940.0,5.5688934E-6
941.0,941.0,0.01346636
942.0,942.0,0.6035549
943.0,943.0,0.009836232
944.0,944.0,3.0391913E-9
945.0,945.0,5.2838173E-4
946.0,946.0,7.05624E-5
947.0,947.0,0.10885958
948.0,948.0,1.3445203E-4
949.0,949.0,2.8225358E-4
950.0,950.0,0.041729465
951.0,951.0,0.006505132
952.0,952.0,0.107642286
953.0,953.0,4.0686757E-7
954.0,954.0,0.4147358
955.0,955.0,0.48366407
